"#"	"Date Heure, GMT+02:00"	"Temp., °C (LGR S/N: 1217466, SEN S/N: 1217466)"	"HR, % (LGR S/N: 1217466, SEN S/N: 1217466)"
50	2020/07/16 06:45:27	18.901	72.29
51	2020/07/16 07:00:27	18.996	72.61
52	2020/07/16 07:15:27	19.187	72.92
53	2020/07/16 07:30:27	19.377	72.73
54	2020/07/16 07:45:27	19.567	71.88
55	2020/07/16 08:00:27	19.853	71.68
56	2020/07/16 08:15:27	20.138	70.72
57	2020/07/16 08:30:27	20.424	69.55
58	2020/07/16 08:45:27	20.805	68.45
59	2020/07/16 09:00:27	21.282	67.76
60	2020/07/16 09:15:27	22.142	65.62
61	2020/07/16 09:30:27	22.812	63.23
62	2020/07/16 09:45:27	23.388	62.51
63	2020/07/16 10:00:27	23.388	61.47
64	2020/07/16 10:15:27	24.062	59.12
65	2020/07/16 10:30:27	24.545	57.50
66	2020/07/16 10:45:27	24.641	56.67
67	2020/07/16 11:00:27	24.931	56.83
68	2020/07/16 11:15:27	25.125	56.61
69	2020/07/16 11:30:27	24.835	57.02
70	2020/07/16 11:45:27	24.738	57.64
71	2020/07/16 12:00:27	25.222	56.25
72	2020/07/16 12:15:27	25.416	56.82
73	2020/07/16 12:30:27	25.513	55.53
74	2020/07/16 12:45:27	25.610	56.32
75	2020/07/16 13:00:27	25.902	55.32
76	2020/07/16 13:15:27	27.370	53.68
77	2020/07/16 13:30:27	28.456	49.43
78	2020/07/16 13:45:27	27.961	50.24
79	2020/07/16 14:00:27	27.862	50.60
80	2020/07/16 14:15:27	27.665	51.28
81	2020/07/16 14:30:27	27.468	51.76
82	2020/07/16 14:45:27	27.862	52.28
83	2020/07/16 15:00:27	27.764	50.38
84	2020/07/16 15:15:27	28.953	50.98
85	2020/07/16 15:30:27	29.452	48.10
86	2020/07/16 15:45:27	29.352	48.16
87	2020/07/16 16:00:27	29.152	49.05
88	2020/07/16 16:15:27	28.953	50.31
89	2020/07/16 16:30:27	28.258	50.70
90	2020/07/16 16:45:27	28.258	51.47
91	2020/07/16 17:00:27	28.060	51.56
92	2020/07/16 17:15:27	27.764	52.04
93	2020/07/16 17:30:27	26.977	51.67
94	2020/07/16 17:45:27	25.805	54.28
95	2020/07/16 18:00:27	25.125	55.47
96	2020/07/16 18:15:27	24.931	57.17
97	2020/07/16 18:30:27	25.028	58.44
98	2020/07/16 18:45:27	25.028	58.25
99	2020/07/16 19:00:27	24.931	57.35
100	2020/07/16 19:15:27	24.641	58.59
101	2020/07/16 19:30:27	24.255	58.62
102	2020/07/16 19:45:27	24.158	60.48
103	2020/07/16 20:00:27	23.966	60.89
104	2020/07/16 20:15:27	23.388	60.15
105	2020/07/16 20:30:27	22.908	59.99
106	2020/07/16 20:45:27	22.621	59.65
107	2020/07/16 21:00:27	22.333	60.53
108	2020/07/16 21:15:27	22.046	60.53
109	2020/07/16 21:30:27	21.855	62.35
110	2020/07/16 21:45:27	21.760	61.75
111	2020/07/16 22:00:27	21.569	62.02
112	2020/07/16 22:15:27	21.473	62.59
113	2020/07/16 22:30:27	21.473	63.16
114	2020/07/16 22:45:27	21.378	63.18
115	2020/07/16 23:00:27	21.282	64.43
116	2020/07/16 23:15:27	21.282	63.80
117	2020/07/16 23:30:27	21.282	63.63
118	2020/07/16 23:45:27	21.187	64.27
119	2020/07/17 00:00:27	21.091	64.56
120	2020/07/17 00:15:27	20.996	64.58
121	2020/07/17 00:30:27	20.996	65.05
122	2020/07/17 00:45:27	20.901	66.06
123	2020/07/17 01:00:27	20.901	66.27
124	2020/07/17 01:15:27	20.805	66.60
125	2020/07/17 01:30:27	20.805	66.82
126	2020/07/17 01:45:27	20.710	67.17
127	2020/07/17 02:00:27	20.615	67.88
128	2020/07/17 02:15:27	20.519	68.50
129	2020/07/17 02:30:27	20.424	69.02
130	2020/07/17 02:45:27	20.424	69.82
131	2020/07/17 03:00:27	20.329	70.12
132	2020/07/17 03:15:27	20.329	70.54
133	2020/07/17 03:30:27	20.234	70.85
134	2020/07/17 03:45:27	20.234	71.00
135	2020/07/17 04:00:27	20.138	71.48
136	2020/07/17 04:15:27	19.948	72.31
137	2020/07/17 04:30:27	19.948	72.82
138	2020/07/17 04:45:27	19.853	73.37
139	2020/07/17 05:00:27	19.853	73.92
140	2020/07/17 05:15:27	19.853	73.73
141	2020/07/17 05:30:27	19.853	73.73
142	2020/07/17 05:45:27	19.758	74.51
143	2020/07/17 06:00:27	19.567	75.36
144	2020/07/17 06:15:27	19.282	75.60
145	2020/07/17 06:30:27	18.901	75.43
146	2020/07/17 06:45:27	18.616	75.46
147	2020/07/17 07:00:27	18.426	76.58
148	2020/07/17 07:15:27	18.426	77.53
149	2020/07/17 07:30:27	18.901	78.26
150	2020/07/17 07:45:27	19.567	78.47
151	2020/07/17 08:00:27	20.234	77.37
152	2020/07/17 08:15:27	20.710	75.02
153	2020/07/17 08:30:27	21.187	74.15
154	2020/07/17 08:45:27	21.664	72.25
155	2020/07/17 09:00:27	22.142	71.35
156	2020/07/17 09:15:27	22.621	70.20
157	2020/07/17 09:30:27	23.292	68.03
158	2020/07/17 09:45:27	23.773	66.06
159	2020/07/17 10:00:27	24.351	64.10
160	2020/07/17 10:15:27	24.738	61.41
161	2020/07/17 10:30:27	25.222	59.18
162	2020/07/17 10:45:27	25.416	58.15
163	2020/07/17 11:00:27	25.416	58.03
164	2020/07/17 11:15:27	25.513	56.86
165	2020/07/17 11:30:27	25.513	57.57
166	2020/07/17 11:45:27	25.708	57.65
167	2020/07/17 12:00:27	25.902	55.75
168	2020/07/17 12:15:27	26.000	54.83
169	2020/07/17 12:30:27	26.097	56.09
170	2020/07/17 12:45:27	25.902	54.65
171	2020/07/17 13:00:27	26.390	53.88
172	2020/07/17 13:15:27	27.862	50.93
173	2020/07/17 13:30:27	28.159	47.43
174	2020/07/17 13:45:27	28.060	47.64
175	2020/07/17 14:00:27	28.258	48.87
176	2020/07/17 14:15:27	28.258	49.41
177	2020/07/17 14:30:27	28.060	49.08
178	2020/07/17 14:45:27	28.655	50.30
179	2020/07/17 15:00:27	28.754	49.39
180	2020/07/17 15:15:27	29.053	48.66
181	2020/07/17 15:30:27	29.552	46.77
182	2020/07/17 15:45:27	29.352	46.86
183	2020/07/17 16:00:27	28.853	46.75
184	2020/07/17 16:15:27	28.853	47.67
185	2020/07/17 16:30:27	28.655	47.44
186	2020/07/17 16:45:27	28.357	45.56
187	2020/07/17 17:00:27	27.961	47.88
188	2020/07/17 17:15:27	27.665	48.96
189	2020/07/17 17:30:27	27.567	49.91
190	2020/07/17 17:45:27	27.173	50.41
191	2020/07/17 18:00:27	26.879	48.39
192	2020/07/17 18:15:27	26.488	49.43
193	2020/07/17 18:30:27	26.195	51.12
194	2020/07/17 18:45:27	26.000	50.93
195	2020/07/17 19:00:27	25.708	50.29
196	2020/07/17 19:15:27	25.513	51.60
197	2020/07/17 19:30:27	25.222	51.47
198	2020/07/17 19:45:27	25.028	51.48
199	2020/07/17 20:00:27	24.835	52.24
200	2020/07/17 20:15:27	24.545	54.31
201	2020/07/17 20:30:27	24.255	54.77
202	2020/07/17 20:45:27	24.062	55.48
203	2020/07/17 21:00:27	23.677	57.60
204	2020/07/17 21:15:27	23.388	58.02
205	2020/07/17 21:30:27	23.004	59.23
206	2020/07/17 21:45:27	22.812	59.81
207	2020/07/17 22:00:27	22.621	61.04
208	2020/07/17 22:15:27	22.429	61.30
209	2020/07/17 22:30:27	22.238	60.98
210	2020/07/17 22:45:27	22.238	61.35
211	2020/07/17 23:00:27	22.142	61.22
212	2020/07/17 23:15:27	22.142	61.67
213	2020/07/17 23:30:27	22.046	61.84
214	2020/07/17 23:45:27	21.951	62.09
215	2020/07/18 00:00:27	21.951	62.41
216	2020/07/18 00:15:27	21.951	62.73
217	2020/07/18 00:30:27	21.855	63.25
218	2020/07/18 00:45:27	21.760	64.52
219	2020/07/18 01:00:27	21.569	65.63
220	2020/07/18 01:15:27	21.187	65.90
221	2020/07/18 01:30:27	20.805	66.60
222	2020/07/18 01:45:27	20.519	66.66
223	2020/07/18 02:00:27	20.234	68.18
224	2020/07/18 02:15:27	19.948	68.47
225	2020/07/18 02:30:27	19.567	68.66
226	2020/07/18 02:45:27	19.282	70.00
227	2020/07/18 03:00:27	19.187	71.16
228	2020/07/18 03:15:27	19.187	71.62
229	2020/07/18 03:30:27	19.377	72.90
230	2020/07/18 03:45:27	19.662	73.21
231	2020/07/18 04:00:27	19.853	73.19
232	2020/07/18 04:15:27	19.948	73.35
233	2020/07/18 04:30:27	20.043	72.81
234	2020/07/18 04:45:27	20.138	72.80
235	2020/07/18 05:00:27	20.138	72.80
236	2020/07/18 05:15:27	20.234	72.78
237	2020/07/18 05:30:27	20.329	73.31
238	2020/07/18 05:45:27	20.234	73.88
239	2020/07/18 06:00:27	20.329	73.86
240	2020/07/18 06:15:27	20.234	73.14
241	2020/07/18 06:30:27	20.234	72.61
242	2020/07/18 06:45:27	20.234	72.78
243	2020/07/18 07:00:27	20.329	72.43
244	2020/07/18 07:15:27	20.424	72.76
245	2020/07/18 07:30:27	20.519	72.40
246	2020/07/18 07:45:27	20.805	70.92
247	2020/07/18 08:00:27	21.091	70.73
248	2020/07/18 08:15:27	21.378	69.95
249	2020/07/18 08:30:27	21.664	69.63
250	2020/07/18 08:45:27	22.046	68.89
251	2020/07/18 09:00:27	22.525	67.91
252	2020/07/18 09:15:27	23.100	66.85
253	2020/07/18 09:30:27	23.581	64.44
254	2020/07/18 09:45:27	24.062	63.14
255	2020/07/18 10:00:27	24.641	62.16
256	2020/07/18 10:15:27	25.222	59.46
257	2020/07/18 10:30:27	25.708	57.22
258	2020/07/18 10:45:27	26.195	56.40
259	2020/07/18 11:00:27	26.390	55.63
260	2020/07/18 11:15:27	26.390	53.45
261	2020/07/18 11:30:27	26.390	54.63
262	2020/07/18 11:45:27	26.683	53.76
263	2020/07/18 12:00:27	26.977	53.44
264	2020/07/18 12:15:27	27.665	52.38
265	2020/07/18 12:30:27	28.060	50.06
266	2020/07/18 12:45:27	28.159	51.80
267	2020/07/18 13:00:27	28.357	50.67
268	2020/07/18 13:15:27	29.652	48.69
269	2020/07/18 13:30:27	30.659	45.26
270	2020/07/18 13:45:27	29.853	44.04
271	2020/07/18 14:00:27	29.953	45.12
272	2020/07/18 14:15:27	30.356	44.32
273	2020/07/18 14:30:27	30.457	43.94
274	2020/07/18 14:45:27	30.963	43.96
275	2020/07/18 15:00:27	31.370	42.17
276	2020/07/18 15:15:27	31.268	43.68
277	2020/07/18 15:30:27	31.472	41.99
278	2020/07/18 15:45:27	31.472	42.58
279	2020/07/18 16:00:27	31.676	42.52
280	2020/07/18 16:15:27	32.394	41.09
281	2020/07/18 16:30:27	31.676	41.81
282	2020/07/18 16:45:27	31.880	41.72
283	2020/07/18 17:00:27	31.268	42.32
284	2020/07/18 17:15:27	30.963	42.81
285	2020/07/18 17:30:27	30.356	44.68
286	2020/07/18 17:45:27	30.154	45.70
287	2020/07/18 18:00:27	29.752	46.05
288	2020/07/18 18:15:27	29.452	47.08
289	2020/07/18 18:30:27	29.152	47.95
290	2020/07/18 18:45:27	28.754	47.88
291	2020/07/18 19:00:27	28.456	47.82
292	2020/07/18 19:15:27	28.159	49.55
293	2020/07/18 19:30:27	27.961	50.49
294	2020/07/18 19:45:27	27.567	49.63
295	2020/07/18 20:00:27	27.272	51.68
296	2020/07/18 20:15:27	26.879	52.31
297	2020/07/18 20:30:27	26.585	53.26
298	2020/07/18 20:45:27	26.195	53.79
299	2020/07/18 21:00:27	25.805	53.99
300	2020/07/18 21:15:27	25.416	55.45
301	2020/07/18 21:30:27	24.931	55.36
302	2020/07/18 21:45:27	24.351	56.69
303	2020/07/18 22:00:27	23.677	58.07
304	2020/07/18 22:15:27	23.004	59.69
305	2020/07/18 22:30:27	22.429	61.01
306	2020/07/18 22:45:27	22.046	61.84
307	2020/07/18 23:00:27	21.951	61.94
308	2020/07/18 23:15:27	21.855	62.59
309	2020/07/18 23:30:27	21.855	63.34
310	2020/07/18 23:45:27	21.855	64.13
311	2020/07/19 00:00:27	21.664	64.35
312	2020/07/19 00:15:27	21.569	65.83
313	2020/07/19 00:30:27	21.378	65.56
314	2020/07/19 00:45:27	21.187	66.01
315	2020/07/19 01:00:27	20.901	66.91
316	2020/07/19 01:15:27	20.615	67.41
317	2020/07/19 01:30:27	20.329	68.05
318	2020/07/19 01:45:27	20.138	68.44
319	2020/07/19 02:00:27	20.138	69.07
320	2020/07/19 02:15:27	20.138	69.73
321	2020/07/19 02:30:27	20.138	70.01
322	2020/07/19 02:45:27	20.138	70.15
323	2020/07/19 03:00:27	20.138	70.72
324	2020/07/19 03:15:27	20.043	71.34
325	2020/07/19 03:30:27	19.758	70.63
326	2020/07/19 03:45:27	19.567	71.88
327	2020/07/19 04:00:27	19.282	71.60
328	2020/07/19 04:15:27	19.092	72.10
329	2020/07/19 04:30:27	18.901	73.49
330	2020/07/19 04:45:27	18.806	74.82
331	2020/07/19 05:00:27	18.711	75.45
332	2020/07/19 05:15:27	18.521	75.47
333	2020/07/19 05:30:27	18.331	75.92
334	2020/07/19 05:45:27	18.140	76.16
335	2020/07/19 06:00:27	17.950	76.85
336	2020/07/19 06:15:27	17.760	76.87
337	2020/07/19 06:30:27	17.665	76.88
338	2020/07/19 06:45:27	17.475	77.37
339	2020/07/19 07:00:27	17.570	77.85
340	2020/07/19 07:15:27	17.760	78.35
341	2020/07/19 07:30:27	18.140	78.32
342	2020/07/19 07:45:27	18.616	78.28
343	2020/07/19 08:00:27	19.187	78.50
344	2020/07/19 08:15:27	19.853	78.45
345	2020/07/19 08:30:27	20.615	78.12
346	2020/07/19 08:45:27	21.378	77.27
347	2020/07/19 09:00:27	22.046	75.98
348	2020/07/19 09:15:27	22.621	74.39
349	2020/07/19 09:30:27	23.196	72.04
350	2020/07/19 09:45:27	23.869	69.00
351	2020/07/19 10:00:27	24.738	69.00
352	2020/07/19 10:15:27	25.222	68.10
353	2020/07/19 10:30:27	25.513	67.66
354	2020/07/19 10:45:27	26.000	65.32
355	2020/07/19 11:00:27	26.292	59.64
356	2020/07/19 11:15:27	26.488	55.44
357	2020/07/19 11:30:27	26.977	55.76
358	2020/07/19 11:45:27	26.781	51.30
359	2020/07/19 12:00:27	26.683	52.01
360	2020/07/19 12:15:27	26.585	51.95
361	2020/07/19 12:30:27	26.781	50.76
362	2020/07/19 12:45:27	27.173	54.85
363	2020/07/19 13:00:27	27.862	49.91
364	2020/07/19 13:15:27	27.272	50.71
365	2020/07/19 13:30:27	27.764	51.51
366	2020/07/19 13:45:27	27.173	52.74
367	2020/07/19 14:00:27	26.977	51.00
368	2020/07/19 14:15:27	27.862	50.51
369	2020/07/19 14:30:27	27.961	48.06
370	2020/07/19 14:45:27	28.357	48.96
371	2020/07/19 15:00:27	28.655	50.14
372	2020/07/19 15:15:27	30.356	48.85
373	2020/07/19 15:30:27	29.552	47.74
374	2020/07/19 15:45:27	28.655	52.12
375	2020/07/19 16:00:27	29.452	52.19
376	2020/07/19 16:15:27	30.659	49.94
377	2020/07/19 16:30:27	29.552	51.26
378	2020/07/19 16:45:27	29.053	52.67
379	2020/07/19 17:00:27	28.258	54.16
380	2020/07/19 17:15:27	27.862	56.53
381	2020/07/19 17:30:27	27.468	56.74
382	2020/07/19 17:45:27	27.173	56.22
383	2020/07/19 18:00:27	27.173	52.46
384	2020/07/19 18:15:27	26.977	52.24
385	2020/07/19 18:30:27	26.683	52.82
386	2020/07/19 18:45:27	26.390	53.79
387	2020/07/19 19:00:27	26.000	58.47
388	2020/07/19 19:15:27	25.610	61.63
389	2020/07/19 19:30:27	25.319	63.72
390	2020/07/19 19:45:27	25.028	66.16
391	2020/07/19 20:00:27	24.738	68.31
392	2020/07/19 20:15:27	24.545	70.06
393	2020/07/19 20:30:27	24.448	71.19
394	2020/07/19 20:45:27	24.255	72.81
395	2020/07/19 21:00:27	23.869	73.43
396	2020/07/19 21:15:27	23.388	74.09
397	2020/07/19 21:30:27	22.812	74.79
398	2020/07/19 21:45:27	22.238	75.51
399	2020/07/19 22:00:27	21.760	76.73
400	2020/07/19 22:15:27	21.378	76.77
401	2020/07/19 22:30:27	21.091	77.81
402	2020/07/19 22:45:27	20.805	78.10
403	2020/07/19 23:00:27	20.615	78.95
404	2020/07/19 23:15:27	20.519	78.96
405	2020/07/19 23:30:27	20.424	79.86
406	2020/07/19 23:45:27	20.329	79.87
407	2020/07/20 00:00:27	20.234	79.88
408	2020/07/20 00:15:27	20.234	80.51
409	2020/07/20 00:30:27	20.138	80.85
410	2020/07/20 00:45:27	20.043	80.85
411	2020/07/20 01:00:27	19.853	80.86
412	2020/07/20 01:15:27	19.662	80.87
413	2020/07/20 01:30:27	19.472	81.57
414	2020/07/20 01:45:27	19.282	81.23
415	2020/07/20 02:00:27	19.092	81.59
416	2020/07/20 02:15:27	18.996	81.94
417	2020/07/20 02:30:27	18.901	82.31
418	2020/07/20 02:45:27	18.806	82.32
419	2020/07/20 03:00:27	18.616	82.33
420	2020/07/20 03:15:27	18.426	81.97
421	2020/07/20 03:30:27	18.426	82.71
422	2020/07/20 03:45:27	18.426	83.09
423	2020/07/20 04:00:27	18.521	83.09
424	2020/07/20 04:15:27	18.521	83.09
425	2020/07/20 04:30:27	18.711	83.48
426	2020/07/20 04:45:27	19.187	84.31
427	2020/07/20 05:00:27	19.567	84.30
428	2020/07/20 05:15:27	19.853	84.30
429	2020/07/20 05:30:27	20.138	84.29
430	2020/07/20 05:45:27	20.329	84.74
431	2020/07/20 06:00:27	20.519	85.20
432	2020/07/20 06:15:27	20.615	85.69
433	2020/07/20 06:30:27	20.710	85.69
434	2020/07/20 06:45:27	20.901	85.68
435	2020/07/20 07:00:27	20.996	85.68
436	2020/07/20 07:15:27	20.996	85.19
437	2020/07/20 07:30:27	21.091	85.19
438	2020/07/20 07:45:27	21.282	86.19
439	2020/07/20 08:00:27	21.473	86.19
440	2020/07/20 08:15:27	21.473	85.68
441	2020/07/20 08:30:27	21.760	86.72
442	2020/07/20 08:45:27	22.142	86.72
443	2020/07/20 09:00:27	22.525	86.18
444	2020/07/20 09:15:27	22.812	84.69
445	2020/07/20 09:30:27	22.717	83.79
446	2020/07/20 09:45:27	22.717	83.79
447	2020/07/20 10:00:27	22.812	84.23
448	2020/07/20 10:15:27	23.196	83.77
449	2020/07/20 10:30:27	23.869	82.50
450	2020/07/20 10:45:27	24.351	81.32
451	2020/07/20 11:00:27	24.255	79.61
452	2020/07/20 11:15:27	24.641	79.59
453	2020/07/20 11:30:27	25.125	78.93
454	2020/07/20 11:45:27	25.222	78.32
455	2020/07/20 12:00:27	25.416	77.17
456	2020/07/20 12:15:27	25.610	77.16
457	2020/07/20 12:30:27	25.708	76.11
458	2020/07/20 12:45:27	25.902	76.34
459	2020/07/20 13:00:27	26.097	75.10
460	2020/07/20 13:15:27	26.292	74.40
461	2020/07/20 13:30:27	27.075	73.45
462	2020/07/20 13:45:27	27.272	72.82
463	2020/07/20 14:00:27	27.173	71.87
464	2020/07/20 14:15:27	27.764	72.96
465	2020/07/20 14:30:27	27.665	69.91
466	2020/07/20 14:45:27	27.764	71.07
467	2020/07/20 15:00:27	28.456	70.28
468	2020/07/20 15:15:27	29.552	67.80
469	2020/07/20 15:30:27	29.352	66.62
470	2020/07/20 15:45:27	28.953	68.33
471	2020/07/20 16:00:27	30.457	67.51
472	2020/07/20 16:15:27	30.862	63.12
473	2020/07/20 16:30:27	30.457	63.94
474	2020/07/20 16:45:27	29.752	64.29
475	2020/07/20 17:00:27	28.655	66.23
476	2020/07/20 17:15:27	27.764	69.89
477	2020/07/20 17:30:27	28.655	69.60
478	2020/07/20 17:45:27	28.555	68.99
479	2020/07/20 18:00:27	27.370	71.48
480	2020/07/20 18:15:27	26.390	74.39
481	2020/07/20 18:30:27	25.805	76.87
482	2020/07/20 18:45:27	25.610	78.89
483	2020/07/20 19:00:27	25.319	79.54
484	2020/07/20 19:15:27	25.319	80.56
485	2020/07/20 19:30:27	25.222	80.56
486	2020/07/20 19:45:27	24.835	81.30
487	2020/07/20 20:00:27	24.738	82.46
488	2020/07/20 20:15:27	24.448	82.88
489	2020/07/20 20:30:27	24.158	83.75
490	2020/07/20 20:45:27	23.966	84.67
491	2020/07/20 21:00:27	23.677	84.67
492	2020/07/20 21:15:27	23.388	85.16
493	2020/07/20 21:30:27	23.004	85.17
494	2020/07/20 21:45:27	22.621	85.67
495	2020/07/20 22:00:27	22.238	85.67
496	2020/07/20 22:15:27	21.951	85.67
497	2020/07/20 22:30:27	21.760	86.72
498	2020/07/20 22:45:27	21.569	86.72
499	2020/07/20 23:00:27	21.473	86.72
500	2020/07/20 23:15:27	21.378	86.72
501	2020/07/20 23:30:27	21.187	87.27
502	2020/07/20 23:45:27	21.091	86.72
503	2020/07/21 00:00:27	20.996	86.72
504	2020/07/21 00:15:27	20.901	87.27
505	2020/07/21 00:30:27	20.901	87.27
506	2020/07/21 00:45:27	20.805	87.27
507	2020/07/21 01:00:27	20.710	87.27
508	2020/07/21 01:15:27	20.519	87.27
509	2020/07/21 01:30:27	20.519	87.27
510	2020/07/21 01:45:27	20.424	87.85
511	2020/07/21 02:00:27	20.519	87.85
512	2020/07/21 02:15:27	20.424	87.85
513	2020/07/21 02:30:27	20.424	87.85
514	2020/07/21 02:45:27	20.424	88.45
515	2020/07/21 03:00:27	20.519	88.45
516	2020/07/21 03:15:27	20.519	88.45
517	2020/07/21 03:30:27	20.424	88.45
518	2020/07/21 03:45:27	20.329	88.45
519	2020/07/21 04:00:27	20.234	88.45
520	2020/07/21 04:15:27	20.329	89.08
521	2020/07/21 04:30:27	20.234	89.08
522	2020/07/21 04:45:27	20.234	89.08
523	2020/07/21 05:00:27	20.329	89.08
524	2020/07/21 05:15:27	20.424	89.08
525	2020/07/21 05:30:27	20.329	89.08
526	2020/07/21 05:45:27	20.234	89.08
527	2020/07/21 06:00:27	20.234	89.08
528	2020/07/21 06:15:27	20.329	89.08
529	2020/07/21 06:30:27	20.424	89.75
530	2020/07/21 06:45:27	20.519	89.75
531	2020/07/21 07:00:27	20.329	89.08
532	2020/07/21 07:15:27	20.329	89.08
533	2020/07/21 07:30:27	20.519	89.09
534	2020/07/21 07:45:27	20.901	89.09
535	2020/07/21 08:00:27	21.378	89.10
536	2020/07/21 08:15:27	21.855	89.12
537	2020/07/21 08:30:27	22.429	88.48
538	2020/07/21 08:45:27	23.004	88.49
539	2020/07/21 09:00:27	23.484	87.88
540	2020/07/21 09:15:27	23.581	86.72
541	2020/07/21 09:30:27	23.581	86.72
542	2020/07/21 09:45:27	24.158	86.18
543	2020/07/21 10:00:27	24.738	85.14
544	2020/07/21 10:15:27	25.028	82.86
545	2020/07/21 10:30:27	25.610	81.64
546	2020/07/21 10:45:27	25.708	79.52
547	2020/07/21 11:00:27	26.488	77.92
548	2020/07/21 11:15:27	26.488	77.35
549	2020/07/21 11:30:27	26.390	76.04
550	2020/07/21 11:45:27	25.902	82.83
551	2020/07/21 12:00:27	25.805	90.64
552	2020/07/21 12:15:27	32.188	94.48
553	2020/07/21 12:30:27	35.009	47.00
554	2020/07/21 12:45:27	32.807	46.42
555	2020/07/21 13:00:27	32.600	51.77
556	2020/07/21 13:15:27	35.542	55.94
557	2020/07/21 13:30:27	39.163	51.54
558	2020/07/21 13:45:27	41.810	46.76
559	2020/07/21 14:00:27	43.723	43.80
560	2020/07/21 14:15:27	37.055	34.38
561	2020/07/21 14:30:27	33.326	42.36
562	2020/07/21 14:45:27	31.880	46.63
563	2020/07/21 15:00:27	30.760	51.53
564	2020/07/21 15:15:27	31.574	40.91
565	2020/07/21 15:30:27	33.014	44.72
566	2020/07/21 15:45:27	34.268	45.50
567	2020/07/21 16:00:27	35.115	45.81
568	2020/07/21 16:15:27	35.756	45.90
569	2020/07/21 16:30:27	35.756	45.72
570	2020/07/21 16:45:27	35.115	47.01
571	2020/07/21 17:00:27	34.268	49.34
572	2020/07/21 17:15:27	33.326	51.69
573	2020/07/21 17:30:27	32.291	53.37
574	2020/07/21 17:45:27	31.370	55.57
575	2020/07/21 18:00:27	30.760	57.30
576	2020/07/21 18:15:27	30.255	58.75
577	2020/07/21 18:30:27	29.953	59.65
578	2020/07/21 18:45:27	29.752	60.42
579	2020/07/21 19:00:27	29.652	60.85
580	2020/07/21 19:15:27	29.752	60.75
581	2020/07/21 19:30:27	29.752	60.50
582	2020/07/21 19:45:27	29.552	60.38
583	2020/07/21 20:00:27	29.252	60.36
584	2020/07/21 20:15:27	28.853	60.69
585	2020/07/21 20:30:27	28.456	61.19
586	2020/07/21 20:45:27	27.961	61.90
587	2020/07/21 21:00:27	27.468	62.54
588	2020/07/21 21:15:27	26.977	63.01
589	2020/07/21 21:30:27	26.488	63.68
590	2020/07/21 21:45:27	26.000	64.37
591	2020/07/21 22:00:27	25.513	64.87
592	2020/07/21 22:15:27	25.125	65.37
593	2020/07/21 22:30:27	24.641	65.79
594	2020/07/21 22:45:27	24.255	66.19
595	2020/07/21 23:00:27	23.869	66.49
596	2020/07/21 23:15:27	23.484	66.79
597	2020/07/21 23:30:27	23.100	66.97
598	2020/07/21 23:45:27	22.717	67.27
599	2020/07/22 00:00:27	22.429	67.56
600	2020/07/22 00:15:27	22.142	67.85
601	2020/07/22 00:30:27	21.855	68.03
